ID,stationName,Date,Time,Status,Frequency,df/dt,B345_BUSA_VS Magnitude,B345_BUSA_VS Angle,B345_BUSB_VS Magnitude,B345_BUSB_VS Angle,T115_T1X_VS Magnitude,T115_T1X_VS Angle,T115_T2X_VS Magnitude,T115_T2X_VS Angle,L345_3165_IS Magnitude,L345_3165_IS Angle,L345_3619_IS Magnitude,L345_3619_IS Angle,L345_3280_IS Magnitude,L345_3280_IS Angle,L345_3921_IS Magnitude,L345_3921_IS Angle,T115_T1X_IS Magnitude,T115_T1X_IS Angle,T115_T2X_IS Magnitude,T115_T2X_IS Angle
99999,XXXXX,1/7/2021,12:13:36.000,00 00,59.997002,0,356899,-178.510162,356537.9375,-178.481522,117963.5234,-170.374161,118438.3906,178.20105,226.138382,-129.459259,228.884995,-130.75412,500.800385,-155.265274,501.715912,-154.955872,2027.005615,-171.588837,799.266418,-2.744742
99999,XXXXX,1/7/2021,12:13:36.033,00 00,59.997002,0,356909.9375,-178.550262,356548.8438,-178.521622,117961.3359,-170.414276,118438.3906,178.166672,227.053925,-129.636871,228.884995,-130.685379,499.884827,-155.397049,502.63147,-154.967331,2027.921143,-171.588837,799.266418,-2.790586
99999,XXXXX,1/7/2021,12:13:36.067,00 00,59.997002,0,356909.9375,-178.596115,356537.9375,-178.567474,117959.1406,-170.454376,118444.9688,178.12085,227.053925,-129.505066,229.800537,-130.673904,498.969299,-155.173599,500.800385,-154.875656,2027.005615,-171.623215,799.266418,-2.807771
99999,XXXXX,1/7/2021,12:13:36.100,00 00,59.997002,0,356909.9375,-178.636215,356537.9375,-178.601837,117956.9609,-170.494492,118438.3906,178.080734,227.969467,-129.688416,229.800537,-130.799973,501.715912,-155.351212,502.63147,-154.944412,2027.921143,-171.691971,799.266418,-2.859339
99999,XXXXX,1/7/2021,12:13:36.133,00 00,59.997002,0,356909.9375,-178.676331,356537.9375,-178.64769,117954.7734,-170.540329,118440.5859,178.034897,227.053925,-129.470703,229.800537,-130.851532,500.800385,-155.225159,502.63147,-154.950134,2027.005615,-171.71489,799.266418,-2.905183
99999,XXXXX,1/7/2021,12:13:36.167,00 00,59.997002,0,356899,-178.716431,356548.8438,-178.68779,117954.7734,-170.580429,118438.3906,177.994781,227.053925,-129.522278,229.800537,-130.811447,499.884827,-155.391327,501.715912,-155.024628,2028.83667,-171.732071,799.266418,-2.951014
99999,XXXXX,1/7/2021,12:13:36.200,00 00,59.997002,0,356909.9375,-178.756546,356548.8438,-178.72789,117952.5781,-170.614807,118442.7734,177.960419,227.053925,-129.682709,229.800537,-130.868713,498.969299,-155.465805,500.800385,-155.144943,2027.921143,-171.783646,799.266418,-2.991121
99999,XXXXX,1/7/2021,12:13:36.233,00 00,59.997002,0,356942.75,-178.802368,356559.8125,-178.768005,117959.1406,-170.660645,118447.1484,177.914566,227.053925,-129.797302,230.71608,-130.966125,499.884827,-155.431427,501.715912,-155.104843,2027.921143,-171.818008,799.266418,-3.059874
99999,XXXXX,1/7/2021,12:13:36.267,00 00,59.997002,0,356931.8438,-178.831024,356559.8125,-178.802368,117956.9609,-170.695023,118444.9688,177.880203,227.053925,-129.917618,230.71608,-131.126556,499.884827,-155.59758,502.63147,-155.150665,2027.921143,-171.846664,799.266418,-3.128626
99999,XXXXX,1/7/2021,12:13:36.300,00 00,59.997002,0,356942.75,-178.876862,356581.6875,-178.848221,117961.3359,-170.74086,118447.1484,177.834351,227.053925,-130.083786,229.800537,-130.989044,499.884827,-155.580399,501.715912,-155.265274,2027.005615,-171.903961,800.181946,-3.122902
99999,XXXXX,1/7/2021,12:13:36.333,00 00,59.998001,0,356942.75,-178.905502,356570.75,-178.871124,117961.3359,-170.769516,118449.3359,177.811432,227.053925,-130.015015,229.800537,-131.246887,500.800385,-155.517365,500.800385,-155.196518,2027.005615,-171.903961,799.266418,-3.134364
99999,XXXXX,1/7/2021,12:13:36.367,00 00,59.997002,0,356953.7188,-178.95134,356581.6875,-178.922699,117963.5234,-170.815338,118451.5313,177.759888,227.053925,-129.980652,229.800537,-131.143738,499.884827,-155.637695,500.800385,-155.150665,2027.005615,-171.966995,799.266418,-3.203116
99999,XXXXX,1/7/2021,12:13:36.400,00 00,59.998001,0,356953.7188,-178.97998,356581.6875,-178.945618,117965.7188,-170.843979,118455.8984,177.736954,227.053925,-129.906174,229.800537,-131.246887,498.053772,-155.437149,500.800385,-155.150665,2026.089966,-172.007095,799.266418,-3.185931
99999,XXXXX,1/7/2021,12:13:36.433,00 00,59.997002,0,356953.7188,-179.020111,356581.6875,-178.99144,117965.7188,-170.889832,118451.5313,177.691116,227.969467,-130.020752,230.71608,-131.481781,498.969299,-155.511642,499.884827,-155.351212,2027.005615,-172.052933,799.266418,-3.248947
99999,XXXXX,1/7/2021,12:13:36.467,00 00,59.998001,0,356953.7188,-179.048752,356592.6563,-179.020111,117967.8984,-170.918472,118449.3359,177.662476,227.969467,-130.18692,230.71608,-131.470337,499.884827,-155.59758,501.715912,-155.379868,2026.089966,-172.05867,798.350891,-3.323437
99999,XXXXX,1/7/2021,12:13:36.500,00 00,59.998001,0,356953.7188,-179.088852,356592.6563,-179.054474,117967.8984,-170.95285,118449.3359,177.628098,227.053925,-130.335876,230.71608,-131.390121,498.053772,-155.78093,500.800385,-155.328293,2025.174438,-172.127426,799.266418,-3.317699
99999,XXXXX,1/7/2021,12:13:36.533,00 00,59.997002,0,356942.75,-179.117508,356570.75,-179.088852,117967.8984,-170.992966,118444.9688,177.599457,227.053925,-130.381714,229.800537,-131.401566,498.053772,-155.809586,499.884827,-155.391327,2024.258911,-172.15033,800.181946,-3.449481
99999,XXXXX,1/7/2021,12:13:36.567,00 00,59.998001,0,356953.7188,-179.146149,356592.6563,-179.111771,117974.4609,-171.015869,118451.5313,177.570801,227.969467,-130.398895,230.71608,-131.430237,499.884827,-155.694977,500.800385,-155.442886,2025.174438,-172.178986,799.266418,-3.409374
99999,XXXXX,1/7/2021,12:13:36.600,00 00,59.998001,0,356964.6563,-179.180527,356592.6563,-179.146149,117976.6484,-171.055984,118455.8984,177.536423,227.053925,-130.204102,229.800537,-131.355743,498.969299,-155.700714,499.884827,-155.437149,2024.258911,-172.230545,798.350891,-3.380728
99999,XXXXX,1/7/2021,12:13:36.633,00 00,59.998001,0,356964.6563,-179.209183,356592.6563,-179.180527,117978.8438,-171.084625,118453.7109,177.507782,227.969467,-130.301498,229.800537,-131.539093,499.884827,-155.717911,499.884827,-155.534561,2024.258911,-172.259201,799.266418,-3.51251
99999,XXXXX,1/7/2021,12:13:36.667,00 00,59.998001,0,356964.6563,-179.237823,356592.6563,-179.209183,117978.8438,-171.113281,118458.0938,177.473389,227.053925,-130.330139,229.800537,-131.550552,497.138214,-155.786652,498.969299,-155.574661,2023.343384,-172.299301,798.350891,-3.495325
